Architecture_Name,Experiment_Name,Dataset_Name,Dataset_Split,MAE,RMSE,Underestimate,Overestimate,Difference
SegRegNet,vgg_cells/n_64_sigma_5_randseed_642_loss_logcosh_patch_4_128x128,vgg_cells,train,3.217,4.126,1.059%,0.806%,1.865%
SegRegNet,vgg_cells/n_64_sigma_5_randseed_642_loss_logcosh_patch_4_128x128,vgg_cells,val,2.602,3.694,1.022%,0.315%,1.337%
SegRegNet,vgg_cells/n_64_sigma_5_randseed_642_loss_logcosh_patch_4_128x128,vgg_cells,test,2.886,3.962,1.012%,0.671%,1.683%
