Architecture_Name,Experiment_Name,Dataset_Name,Dataset_Split,MAE,RMSE,Underestimate,Overestimate,Difference
SegRegNet,vgg_cells/n_64_sigma_5_randseed_644_loss_logcosh_patch_4_128x128,vgg_cells,train,3.041,3.813,0.793%,0.969%,1.763%
SegRegNet,vgg_cells/n_64_sigma_5_randseed_644_loss_logcosh_patch_4_128x128,vgg_cells,val,2.361,3.337,0.714%,0.500%,1.213%
SegRegNet,vgg_cells/n_64_sigma_5_randseed_644_loss_logcosh_patch_4_128x128,vgg_cells,test,2.421,3.363,0.651%,0.761%,1.412%
