Architecture_Name,Experiment_Name,Dataset_Name,Dataset_Split,MAE,RMSE,Underestimate,Overestimate,Difference
FCRN_A,vgg_cells/n_64_sigma_5_randseed_644_loss_logcosh_patch_4_128x128,vgg_cells,train,2.841,3.586,1.329%,0.205%,1.534%
FCRN_A,vgg_cells/n_64_sigma_5_randseed_644_loss_logcosh_patch_4_128x128,vgg_cells,val,2.692,3.143,1.217%,0.348%,1.565%
FCRN_A,vgg_cells/n_64_sigma_5_randseed_644_loss_logcosh_patch_4_128x128,vgg_cells,test,2.64,3.484,1.280%,0.260%,1.540%
