Architecture_Name,Experiment_Name,Dataset_Name,Dataset_Split,MAE,RMSE,Underestimate,Overestimate,Difference
FCRN_A,shanghai_tech/part_b/sigma_10_loss_mae_full_img_epochs_100,shanghai_tech/part_b,train,123.785,156.651,100.000%,0.000%,100.000%
FCRN_A,shanghai_tech/part_b/sigma_10_loss_mae_full_img_epochs_100,shanghai_tech/part_b,val,118.725,145.353,100.000%,0.000%,100.000%
FCRN_A,shanghai_tech/part_b/sigma_10_loss_mae_full_img_epochs_100,shanghai_tech/part_b,test,123.703,155.97,100.000%,0.000%,100.000%
