Architecture_Name,Experiment_Name,Dataset_Name,Dataset_Split,MAE,RMSE,Underestimate,Overestimate,Difference
UNet,vgg_cells/n_32_sigma_5_randseed_322_loss_mse_full_img,vgg_cells,train,5.872,6.662,3.296%,0.077%,3.373%
UNet,vgg_cells/n_32_sigma_5_randseed_322_loss_mse_full_img,vgg_cells,val,5.021,6.354,2.465%,0.272%,2.737%
UNet,vgg_cells/n_32_sigma_5_randseed_322_loss_mse_full_img,vgg_cells,test,5.343,6.604,3.019%,0.097%,3.116%
