Architecture_Name,Experiment_Name,Dataset_Name,Dataset_Split,MAE,RMSE,Underestimate,Overestimate,Difference
FCRN_A,vgg_cells/n_64_sigma_5_randseed_642_loss_logcosh_full_img,vgg_cells,train,2.594,3.165,0.610%,0.772%,1.382%
FCRN_A,vgg_cells/n_64_sigma_5_randseed_642_loss_logcosh_full_img,vgg_cells,val,3.38,4.482,1.030%,0.987%,2.017%
FCRN_A,vgg_cells/n_64_sigma_5_randseed_642_loss_logcosh_full_img,vgg_cells,test,3.197,4.147,0.836%,1.029%,1.865%
